DAYS LEFT,Eligma,http://www.eligma.io/
DAYS LEFT,Money Token,https://moneytoken.com/?utm_source=icoalert
DAYS LEFT,Truegame,https://ico.truegame.io/#
DAYS LEFT,ThinkCoin,https://www.thinkcoin.io/
DAYS LEFT,Disciplina,https://disciplina.io/
DAYS LEFT,Smart Startup Token,https://smartstartuptoken.tech/
DAYS LEFT,Cointrade,https://cointrade.es/
DAYS LEFT,Vesa,https://vesa.io/
DAYS LEFT,Viva Network,https://www.vivanetwork.org/
DAY LEFT,DeskBell Chain,https://deskbell.io/
DAY LEFT,Global RE Bitcoin,https://www.globalrebitcoin.io/
DAY LEFT,Arcadia,https://arcadia-ico.com/
DAY LEFT,Ethereum Slot Machine,https://eslots.io/en/index.html
DAYS LEFT,Countinghouse Fund,https://www.countinghousefund.com/ico
DAYS LEFT,Alt.Estate,https://alt.estate/?utm_source=icoalert.com
DAYS LEFT,Kripton,https://kriptonofafrica.com/
DAYS LEFT,SONDER,https://sonder.vision/
DAYS LEFT,Webercoin,https://webercoin.io/
DAYS LEFT,ORCA,https://orcaalliance.eu/
DAYS LEFT,Thor,https://sale.thortoken.com/
DAYS LEFT,Decentralend,https://decentralend.co/
DAYS LEFT,VIREO LLP Token,https://www.vireoseeds.com/
DAYS LEFT,Soxax,https://www.soxax.com/
DAYS LEFT,DMine,https://www.dminetoken.com/
DAYS LEFT,YondoCoin,https://tokensale.yondo.com/en
DAYS LEFT,General Fund,https://www.generalfundofblockchain.technology/
DAYS LEFT,Cellblocks,https://www.cellblocks.io/
DAYS LEFT,MMH COIN,https://mmhcoin.com/
DAYS LEFT,Nexusless,https://nexusless.com/tokens/
DAYS LEFT,ChronoBase,https://chronobase.io/
DAYS LEFT,Swapy Network,https://www.swapy.network/
DAYS LEFT,Plaza Systems,http://www.plaza.systems/
DAYS LEFT,Vibeo,https://vibeo.io/
DAYS LEFT,Digitize Coin,https://digitizecoin.com/
DAYS LEFT,Crowdvilla,https://crowdvilla.io/
DAYS LEFT,Develop[crypto],https://devcrypt.io/
DAYS LEFT,FairWin,http://fairwin.io/
DAYS LEFT,Role Coin,http://rolecoin.steamrole.org/
DAYS LEFT,Trust Cash,https://trustc.io/
DAYS LEFT,LendingBlock,https://lendingblock.com/
DAYS LEFT,REPU Platform,https://repu.io/
DAYS LEFT,Digital Ticks,https://www.digitalticks.com/
DAYS LEFT,ARQUTE G.A.S.,https://www.arqute.com/
DAYS LEFT,AXenS,http://www.axens.io/index.html
DAYS LEFT,ARGO Reality,https://argoreality.io/
DAYS LEFT,The Deal Coin,http://wefundanydeal.io/preregister/
DAYS LEFT,Ethereum Bank Transactions,http://www.ebts.io/
DAYS LEFT,OneToTwo,http://onetotwo.pro/
DAYS LEFT,MySmartProperty,https://mysmartproperty.io/
DAYS LEFT,Altindex,https://www.alt-index.com/
Apr,Bethereum,https://www.bethereum.com/?utm_source=icoalert&utm_campaign=listing
Apr,Hi:Health,https://hihealth.io/
Apr,WeiCrowd,https://www.weicrowd.com/
Apr,Dysnomia,http://dysnomia.top/
Apr,Moveco,https://moveco.io/ico
Apr,Solution Token,http://solutiontoken.net/
Apr,Foodblock,https://foodblock.io/
Apr,Marginless,https://www.marginless.io/
Apr,SparesHub,http://token.spareshub.com/
Apr,Cryptonia Poker,http://www.cryptonia.poker/
Apr,Entry,https://entry.money/
Apr,Krypton Mine,https://kryptonmine.com/
Apr,Spotcoin,https://spotcoin.com/
Apr,Moneto,https://mone.to/
Apr,Diveco Logistics,https://diveco.net/
Apr,One Hundred Coin,https://100tokens.com/
Apr,Ambit,https://www.ambitmining.io/
Apr,Opiria,https://opiria.io/
Apr,Organicco,https://organicco.co.uk/
Apr,FTEC,https://ftec.io/?utm_source=icoalert
Apr,Berith,http://www.berith.co/
Apr,Nickelcoin,https://nickelcoin.co/
Apr,Aimedis,https://aim.aimedis.com/
Apr,DreamTeam,https://token.dreamteam.gg/?utm_source=icoalert&utm_medium=list&utm_campaign=crypto_lt_icoalert
Apr,Medicohealth,https://medicohealth.io/
Apr,N'Cloud Swiss,https://ncloud.swiss/ico/
Apr,Banana Papa,https://bananapapa.com/en/
Apr,Zed Network,https://zed.network/
Apr,Xentra,https://xentra.io/
Apr,Odyfund,https://odyfund.org/
Apr,KryptEd,http://www.krypted.org/
